"id_nil","nil_name","lisa_state_f","hmm_state"
1,"DUOMO","HH","Hyped"
2,"BRERA","HH","Hyped"
3,"GIARDINI P.TA VENEZIA","HH","Aligned"
4,"GUASTALLA","HH","Underestimated"
5,"PORTA VIGENTINA - PORTA LODOVICA","HH","Aligned"
6,"PORTA TICINESE - CONCA DEL NAVIGLIO","HH","Aligned"
7,"MAGENTA - S. VITTORE","HH","Underestimated"
8,"PARCO SEMPIONE","HH","Hyped"
9,"PORTA GARIBALDI - PORTA NUOVA","HH","Aligned"
10,"STAZIONE CENTRALE - PONTE SEVESO","HH","Aligned"
11,"ISOLA","HH","Aligned"
12,"MACIACHINI - MAGGIOLINA","HH","Aligned"
13,"GRECO - SEGNANO","NotSignificant","Underestimated"
14,"NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI","NotSignificant","Aligned"
15,"BICOCCA","NotSignificant","Aligned"
16,"GORLA - PRECOTTO","LH","Aligned"
17,"ADRIANO","NotSignificant","Aligned"
18,"CIMIANO - ROTTOLE - Q.RE FELTRE","NotSignificant","Underestimated"
19,"PADOVA - TURRO - CRESCENZAGO","NotSignificant","Aligned"
20,"LORETO - CASORETTO - NOLO","HH","Aligned"
21,"BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE","HH","Aligned"
22,"CITTA' STUDI","HH","Underestimated"
23,"LAMBRATE - ORTICA","NotSignificant","Underestimated"
24,"PARCO FORLANINI - CAVRIANO","NotSignificant","Aligned"
25,"CORSICA","HH","Aligned"
26,"XXII MARZO","HH","Aligned"
27,"PTA ROMANA","HH","Hyped"
28,"UMBRIA - MOLISE - CALVAIRATE","HH","Hyped"
29,"ORTOMERCATO","NotSignificant","Hyped"
30,"TALIEDO - MORSENCHIO - Q.RE FORLANINI","NotSignificant","Hyped"
31,"MONLUE' - PONTE LAMBRO","NotSignificant","Underestimated"
32,"TRIULZO SUPERIORE","NotSignificant","Underestimated"
33,"ROGOREDO - SANTA GIULIA","NotSignificant","Underestimated"
34,"CHIARAVALLE","NotSignificant","Underestimated"
35,"LODI - CORVETTO","LH","Underestimated"
36,"SCALO ROMANA","HH","Hyped"
37,"MORIVIONE","HH","Hyped"
38,"VIGENTINO - Q.RE FATIMA","NotSignificant","Hyped"
39,"QUINTOSOLE","LL","Underestimated"
40,"RONCHETTO DELLE RANE","LL","Underestimated"
41,"GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE","LL","Underestimated"
42,"STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA","LH","Underestimated"
43,"TIBALDI","HH","Hyped"
44,"PORTA TICINESE - CONCHETTA","HH","Hyped"
45,"MONCUCCO - SAN CRISTOFORO","LH","Underestimated"
46,"BARONA","LH","Underestimated"
47,"CANTALUPA","NotSignificant","Underestimated"
48,"RONCHETTO SUL NAVIGLIO - Q.RE LODOVICO IL MORO","NotSignificant","Underestimated"
49,"GIAMBELLINO","NotSignificant","Aligned"
50,"PORTA GENOVA","HH","Hyped"
51,"PORTA MAGENTA","HH","Hyped"
52,"BANDE NERE","LH","Aligned"
53,"LORENTEGGIO","LH","Aligned"
54,"MUGGIANO","NotSignificant","Underestimated"
55,"BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA","LL","Underestimated"
56,"FORZE ARMATE","LH","Underestimated"
57,"SAN SIRO","HH","Underestimated"
58,"DE ANGELI - MONTE ROSA","HH","Aligned"
59,"TRE TORRI","HH","Aligned"
60,"STADIO - IPPODROMI","NotSignificant","Underestimated"
61,"QUARTO CAGNINO","NotSignificant","Underestimated"
62,"QUINTO ROMANO","NotSignificant","Underestimated"
63,"FIGINO","NotSignificant","Hyped"
64,"TRENNO","LL","Aligned"
65,"Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO","NotSignificant","Underestimated"
66,"QT 8","HH","Underestimated"
67,"PORTELLO","HH","Underestimated"
68,"PAGANO","HH","Aligned"
69,"SARPI","HH","Aligned"
70,"GHISOLFA","HH","Aligned"
71,"VILLAPIZZONE - CAGNOLA - BOLDINASCO","NotSignificant","Underestimated"
72,"MAGGIORE - MUSOCCO - CERTOSA","NotSignificant","Underestimated"
73,"CASCINA MERLATA","NotSignificant","Aligned"
74,"ROSERIO","NotSignificant","Underestimated"
75,"STEPHENSON","NotSignificant","Aligned"
76,"QUARTO OGGIARO - VIALBA - MUSOCCO","NotSignificant","Underestimated"
77,"BOVISA","NotSignificant","Underestimated"
78,"FARINI","HH","Aligned"
79,"DERGANO","HH","Underestimated"
80,"AFFORI","LH","Aligned"
81,"BOVISASCA","NotSignificant","Underestimated"
82,"COMASINA","LH","Aligned"
83,"BRUZZANO","NotSignificant","Aligned"
84,"PARCO NORD","NotSignificant","Aligned"
85,"PARCO DELLE ABBAZIE","LL","Underestimated"
86,"PARCO DEI NAVIGLI","NotSignificant","Underestimated"
87,"ASSIANO","NotSignificant","Hyped"
88,"PARCO BOSCO IN CITTA'","LL","Underestimated"
